idx,treatment_title,resp_title,sate,causal_effect,explanation
2703,Deceiver (1997),Jimmy Hollywood (1994),-0.14915764,0,"'Deceiver' (neo-noir/mystery) and 'Jimmy Hollywood' (satirical comedy-drama) have no significant overlap in genre, story, or typical audience."
2704,Outbreak (1995),"Good, The Bad and The Ugly, The (1966)",0.26494455,0,"An epidemic thriller and a classic spaghetti western appeal to different audiences and genres, with no narrative or genre-linking themes."
2705,"Long Kiss Goodnight, The (1996)",Jimmy Hollywood (1994),-0.14915764,0,"'Long Kiss Goodnight' (action/thriller) and 'Jimmy Hollywood' (satirical comedy-drama) have no direct connection in genre, story, or reception."
2706,Spice World (1997),"Tango Lesson, The (1997)",0.72915214,0,"'Spice World' (pop music comedy) and 'The Tango Lesson' (dance/music drama) both involve music/dance, but extremely different styles and audiences. No strong causal effect."
2707,"Prophecy II, The (1998)",FairyTale: A True Story (1997),-0.14901766,0,"'The Prophecy II' is a supernatural horror sequel, while 'FairyTale' is a fantasy family drama. Despite a general supernatural theme, genres and intended viewers are different."
2708,Jackie Chan's First Strike (1996),"Prophecy, The (1995)",0.30298713,0,"An action-comedy and a supernatural thriller have no story or genre connection, so watching A does not causally affect B."
2709,Milk Money (1994),Circle of Friends (1995),0.72913647,0,"Both are 1990s dramas, but one is a pre-teen/romantic comedy and the other is a coming-of-age Irish drama. Limited audience overlap, so no substantial causal relationship."
2710,Clueless (1995),"Big Sleep, The (1946)",0.056034476,0,"A 1990s teen comedy and a classic film noir have vastly different audiences, genres, and eras, resulting in no direct causal effect."
2711,Akira (1988),First Kid (1996),-0.14894931,0,'Akira' is a landmark anime for mature audiences; 'First Kid' is a goofy family comedy. There is no causal relationship due to genre and demographic separation.
2712,"Bridges of Madison County, The (1995)",Titanic (1997),0.7290848,2,"Both are popular romantic dramas with wide mainstream appeal; watching one may slightly increase likelihood of interest in another high-profile romance, mainly via genre priming and mood."
2713,M (1931),Lost in Space (1998),-0.14892441,0,"'M' is a classic crime thriller; 'Lost in Space' is a big-budget sci-fi family adventure. Genres, eras, and audiences barely overlap."
2714,Once Upon a Time in America (1984),"Sweet Hereafter, The (1997)",0.4157117,0,"While both are serious dramas, their themes, storytelling styles, eras, and target audiences differ; watching A does not causally predispose or discourage B."
2715,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",Braveheart (1995),0.7290606,1,"Both are historical dramas set in Europe with themes of identity and conflict. Watching A might slightly increase interest in historical epics like B, but the stories are independent."
2716,My Fellow Americans (1996),187 (1997),0.314518,0,"'My Fellow Americans' is a political comedy; '187' is an urban crime drama. Audiences, genre, and themes solidly differ, so watching one does not causally impact interest in the other."
2717,GoodFellas (1990),All About Eve (1950),0.72896874,0,"These films are from different genres (crime drama vs classic drama), eras, and have minimally overlapping audiences. Watching GoodFellas does not affect the likelihood of watching All About Eve after accounting for confounders."
2718,"Truth About Cats & Dogs, The (1996)",Lost in Space (1998),-0.14892441,0,A romantic comedy and a sci-fi adventure have little narrative or audience overlap. Watching one does not causally influence the probability of watching the other.
2719,Event Horizon (1997),Lost in Space (1998),-0.14892441,1,"Both are late-90s sci-fi films; viewers interested in one might be predisposed to the other, but genre confounding dominates. Watching Event Horizon might slightly increase interest in contemporaneous sci-fi like Lost in Space, but the causal effect is minimal."
2720,Addams Family Values (1993),"Brothers McMullen, The (1995)",0.7289618,0,Distinct genres (dark comedy vs indie drama) and minimal audience overlap result in negligible causal influence between these titles.
2721,"Substance of Fire, The (1996)",Beverly Hills Cop III (1994),0.03212949,0,"No narrative, thematic, or audience connection; therefore, watching one does not causally affect the likelihood of watching the other."
2722,Leave It to Beaver (1997),Lost in Space (1998),-0.14892441,0,"While both are family-oriented remakes, they do not form a series or share strong audience dependency. Watching one does not plausibly increase or decrease the likelihood of watching the other after accounting for genre preferences."
2723,Jude (1996),Notorious (1946),0.7285676,0,"Watching a 1990s literary adaptation does not causally affect interest in a 1940s Hitchcock classic, beyond general cinephilia, which is a confounder."
2724,Two or Three Things I Know About Her (1966),If Lucy Fell (1996),0.15000796,0,French New Wave and 90s romantic comedy target different audiences and have no causal narrative or thematic link.
2725,Othello (1995),"Day the Earth Stood Still, The (1951)",-0.14878935,0,"Shakespeare adaptation and classic science fiction involve entirely different viewing motivations, so watching one does not affect watching the other."
2726,"Devil's Own, The (1997)",Mortal Kombat (1995),0.33439207,0,Political thriller and action/fantasy video game adaptation have no significant narrative or genre overlap to induce a causal effect.
2727,Kids (1995),"Replacement Killers, The (1998)",0.7284673,0,Urban drama and action thriller appeal to separate audiences—little causal effect between viewing behaviors.
2728,First Knight (1995),"Day the Earth Stood Still, The (1951)",-0.14878935,0,Medieval romance and classic sci-fi serve different genres and audience expectations; watching A doesn't causally influence B.
2729,Welcome to the Dollhouse (1995),Microcosmos: Le peuple de l'herbe (1996),0.7283995,0,"A coming-of-age indie drama and a nature documentary have unrelated audiences and interests, resulting in no causal effect."
2730,M*A*S*H (1970),Citizen Kane (1941),0.067707226,0,"Both are canonical films with cinephile appeal, but any tendency to watch both is due to general film enthusiasm, a confounder, not a causal relationship."
2731,"City of Lost Children, The (1995)",Mission: Impossible (1996),-0.1485821,0,French steampunk fantasy and Hollywood spy thriller draw different core fans; casual effect is negligible after accounting for genre curiosity.
2732,Down Periscope (1996),Microcosmos: Le peuple de l'herbe (1996),0.7283995,0,"Slapstick navy comedy and macro-level insect documentary have distinct audiences and no narrative linkage, resulting in no causal relationship."
2733,Eat Drink Man Woman (1994),"Amityville Curse, The (1990)",0.062602,0,"Taiwanese family drama and American horror lack any narrative, genre, or audience intersection to produce a causal watch effect."
2734,Rosencrantz and Guildenstern Are Dead (1990),"Full Monty, The (1997)",-0.14852135,0,"Existential Shakespearean comedy and working-class British comedy have limited audience overlap; any correlation is attributable to idiosyncratic taste, not causality."
2735,Sleepless in Seattle (1993),Little Odessa (1994),0.7283048,0,"Romantic comedy and crime drama have no narrative, genre, or release-proximity link; watching one does not causally affect watching the other."
2736,Gattaca (1997),Free Willy (1993),0.033763237,0,Near-future sci-fi and family adventure are consumed independently; watching A neither increases nor decreases the likelihood of B.
2737,Bad Moon (1996),City Hall (1996),0.05263158,0,Werewolf horror and political thriller released in the same year target distinct audiences so there is no causal watch relationship.
2738,Thirty-Two Short Films About Glenn Gould (1993),Little Odessa (1994),0.7283048,0,Biographical art film and bleak crime drama represent non-overlapping interests; behavioral confounding (arthouse preferences) covers any co-watching.
2739,In the Name of the Father (1993),"Full Monty, The (1997)",-0.14852135,0,Irish courtroom drama and British comedy-drama reflect different moods and themes; no causal viewing relationship aside from potential Anglophile confounding.
2740,"Perfect Candidate, A (1996)","American Werewolf in London, An (1981)",0.15374905,0,"Political documentary and horror comedy belong to separate genres and demographics, preventing one from affecting the other causally."
2741,Paris Was a Woman (1995),"Full Monty, The (1997)",-0.14852135,0,Documentary about creative women in Paris and Yorkshire-set working-class comedy-dramas serve very different interests with no causal link.
2742,L.A. Confidential (1997),Little Odessa (1994),0.7283048,1,"Both films are crime dramas with serious tones and adult themes. Watching 'L.A. Confidential' might slightly increase interest in similar gritty crime stories like 'Little Odessa,' but since there is no narrative connection and 'Little Odessa' is less mainstream, the effect is minimal. Confounders like genre preference are likely more influential."
2743,McHale's Navy (1997),Little Odessa (1994),0.7283048,0,"'McHale's Navy' is a broad comedy, while 'Little Odessa' is a dark crime drama. There is little genre overlap or audience crossover. Watching one does not causally influence interest in the other."
2744,Nine Months (1995),Last Man Standing (1996),0.124070846,0,"'Nine Months' is a romantic comedy, and 'Last Man Standing' is a violent action thriller. There is no narrative, thematic, or genre link; thus, watching one does not causally impact the likelihood of watching the other."
2745,Fargo (1996),First Kid (1996),-0.14849044,0,"These films target completely different audiences—'Fargo' is a dark crime-comedy, while 'First Kid' is a family-friendly comedy. There is no causal relationship beyond random sequence; they can be watched independently."
2746,Girl 6 (1996),Little Odessa (1994),0.7283048,0,"'Girl 6' is a Spike Lee drama about sex work, and 'Little Odessa' is a bleak crime thriller. While both appeal to those seeking indie/arthouse fare, watching one does not generally cause increased or decreased interest in the other, given the thematic and stylistic differences."
2747,Notorious (1946),Once Upon a Time... When We Were Colored (1995),-0.14837539,0,"'Notorious' is a classic Hitchcock thriller, while 'Once Upon a Time... When We Were Colored' is a historical drama about African-American experience. There is no narrative, genre, or typical audience overlap, so there is no causal effect."
2748,Bulletproof (1996),Brother Minister: The Assassination of Malcolm X (1994),0.077730566,0,"'Bulletproof' is a comedic action film, whereas 'Brother Minister' is a political documentary. The two appeal to vastly different viewer interests and motivations, so watching one does not causally impact interest in the other."
2749,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)","Sting, The (1973)",0.72827506,0,"Despite both being period pieces with themes of deception, they're set in different eras and genres (historical drama vs. caper). There is no direct narrative or franchise tie, so no meaningful causal effect exists."
2750,Roommates (1995),First Kid (1996),-0.14830768,0,"Both films are family-oriented but deal with unrelated themes and narratives. There's slight demographic overlap, but no causal influence from one viewing to the other."
2751,Nick of Time (1995),Full Metal Jacket (1987),0.19878861,0,"'Nick of Time' is a thriller, and 'Full Metal Jacket' is a Vietnam War film. Aside from potential action/thriller fans, there is no narrative or genre-driven causal link."
2752,Circle of Friends (1995),Absolute Power (1997),-0.1481749,0,"The former is a romantic drama, the latter a political thriller. Target audiences and narrative themes differ, so watching A doesn't causally affect interest in B."
2753,All Dogs Go to Heaven 2 (1996),Jackie Chan's First Strike (1996),0.7277677,0,"One is a family animated sequel, the other a martial arts action film. These have no narrative or genre connectivity, so there is no causal effect."
2754,"Funeral, The (1996)",Outbreak (1995),0.06645091,0,"'The Funeral' is an indie mob drama, 'Outbreak' is a medical thriller. Their genres and moods differ significantly; no meaningful causal relationship exists."
2755,"Remains of the Day, The (1993)",Notorious (1946),0.7277563,1,"Both are acclaimed period dramas with themes of duty and intrigue, appealing to similar audiences. Watching 'Remains of the Day' could mildly increase interest in another classic, serious film like 'Notorious,' but the effect is small and mediated by personal taste."
2756,Harold and Maude (1971),First Kid (1996),-0.14812538,0,"'Harold and Maude' is an offbeat black comedy, while 'First Kid' is a mainstream family film. There is no narrative or genre-driven cause to watch one after the other."
2757,Die Hard (1988),Grosse Pointe Blank (1997),0.14461152,1,"Both films blend action and dark comedy, appealing to similar genre fans. Watching 'Die Hard' might slightly increase interest in action-comedies like 'Grosse Pointe Blank,' but the narrative and tone are distinct enough to limit the effect."
2758,"Grand Day Out, A (1992)",Black Sheep (1996),0.0334162,0,"The former is a stop-motion animated short, the latter a live-action comedy. No genre, narrative, or typical audience overlap; no causal effect."
2759,Halloween: The Curse of Michael Myers (1995),"NeverEnding Story III, The (1994)",0.7275002,0,"'Halloween' is a horror sequel, 'NeverEnding Story III' is a family fantasy sequel. Despite both being part of larger franchises, they do not share audience or genre, so no causal effect exists."
2760,Delicatessen (1991),"Sting, The (1973)",-0.14808257,0,"While both contain darkly comic elements and deception, they differ greatly in style, era, and tone, appealing to different filmgoers. Watching one does not typically cause interest in the other."
2761,"Boot, Das (1981)",Notorious (1946),0.727497,1,"Both are tense war-era dramas with espionage elements appealing to classic cinema fans. Watching 'Das Boot' may slightly increase interest in another suspenseful period film like 'Notorious,' but the effect is weak."
2762,Something to Talk About (1995),"Sting, The (1973)",-0.14808257,0,"'Something to Talk About' is a romantic comedy-drama, while 'The Sting' is a period caper. There is no narrative, genre, or typical audience overlap for a causal effect."
2763,My Own Private Idaho (1991),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",0.27184632,0,"Both are art-house films, but their genres, eras, and themes are distinct (queer road drama versus philosophical medieval allegory). Watching one does not causally increase likelihood of viewing the other beyond personal art film interest."
2764,Angels and Insects (1995),"Love Bug, The (1969)",0.0067574447,0,"'Angels and Insects' is an erotic period drama; 'The Love Bug' is a Disney family comedy. There is no genre or audience overlap, so no causal relationship exists."
2765,Four Rooms (1995),First Kid (1996),-0.1480344,0,"'Four Rooms' is a dark comedy anthology for adults, while 'First Kid' is a family-friendly comedy. Audience and genre differences mean watching one does not cause interest in the other."
2766,Naked Gun 33 1/3: The Final Insult (1994),Home Alone 3 (1997),0.72749174,0,"Although both are broad comedies, one is a parody for older audiences and the other a family-oriented slapstick sequel. Some comedic taste overlap, but no narrative or franchise tie; thus, no real causal effect."
705,"Adventures of Robin Hood, The (1938)",Laura (1944),0.03634894,0,"These films differ greatly in genre and era—one is a classic adventure, the other a film noir. Viewers of one are unlikely to be causally influenced to watch the other, aside from general classic film fans (a confounder), so the causal effect is negligible."
981,Eve's Bayou (1997),Dark City (1998),0.043919634,0,"These movies have no narrative, genre, or cast overlap—one’s a Southern Gothic drama, the other a noir sci-fi. Viewing one does not causally increase or decrease the probability of viewing the other, beyond a slight general interest in 90s cinema."
1032,"Spitfire Grill, The (1996)",Operation Dumbo Drop (1995),0.28408334,0,"These have unrelated genres (drama vs. family/war comedy) and no shared narrative or cast ties. Watching one does not causally affect the chance of watching the other, except through possible but weak confounding by mid-90s interest."
1158,For Whom the Bell Tolls (1943),Nikita (La Femme Nikita) (1990),0.37838718,0,"These films have very different genres and time periods (classic war/romance vs. modern French action thriller). There’s no narrative dependency or strong thematic bridge, so there’s no causal effect on viewing likelihood."
1184,Contact (1997),Little Odessa (1994),0.7858584,0,“Contact” (sci-fi drama) and “Little Odessa” (crime drama) share neither theme nor genre nor cast. There is no direct causal mechanism by which watching one would increase or decrease the viewing of the other.
1385,Apollo 13 (1995),Michael Collins (1996),0.049566872,1,"Both are historical dramas about real-life events and figures. Watching 'Apollo 13' may slightly increase the likelihood of watching other 1990s prestige historical biopics among history-interested viewers, but the effect is mild and confounded by general interest in history."
1386,"Long Kiss Goodnight, The (1996)",Roommates (1995),0.77533096,0,These movies differ in both genre (action vs. drama/comedy) and tone. There’s no narrative or strong cast connection. Watching one is not likely to causally affect interest in the other.
1487,Beyond Bedlam (1993),Once Upon a Time... When We Were Colored (1995),-0.18540195,0,'Beyond Bedlam' is a little-known British thriller; 'Once Upon a Time... When We Were Colored' is a historical family drama. There is no narrative or audience overlap to imply causal influence.
1488,Fargo (1996),Little Odessa (1994),0.77045023,1,"Both are 90s crime dramas with bleak atmosphere. Viewing 'Fargo' could slightly increase likelihood to seek out similar crime films, but this is heavily confounded by genre preference, making the causal effect quite modest."
1664,Harold and Maude (1971),"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",0.76127845,0,"Although both are early 1970s dramas, they differ in tone, style, and country of origin. There is no direct narrative or genre pathway for causal influence."
2115,"Prophecy II, The (1998)",Back to the Future (1985),0.27775002,0,"'Prophecy II' is a horror sequel; 'Back to the Future' is a seminal sci-fi comedy. Despite both being genre films, they serve very different audiences and have no causal or narrative link."
2266,Circle of Friends (1995),"Day the Earth Stood Still, The (1951)",-0.16010904,0,'Circle of Friends' is a 1990s period drama/romance; 'Day the Earth Stood Still' is a classic 1950s sci-fi film. Distinct audiences and no narrative or genre relationship means no causal effect.
2767,"Very Brady Sequel, A (1996)",U Turn (1997),0.46312255,0,"These films are a broad comedy sequel and a neo-noir crime drama, respectively. No narrative or cast connection; watching one does not causally affect the other, aside from potential 90s film interest."
2768,In the Name of the Father (1993),Home Alone 3 (1997),0.72749174,0,"One is a serious political drama, the other a slapstick kids' sequel. No overlap in narrative, theme, or typical audience, so watching one does not causally affect interest in the other."
2769,Amistad (1997),FairyTale: A True Story (1997),-0.14802359,0,"Though both are late-90s dramas based on true stories, the genres, audiences, and subject matter differ greatly. Watching one does not causally impact the probability of watching the other."
2770,Henry V (1989),Wyatt Earp (1994),0.12696722,1,"Both are epic dramatizations of historical figures and can appeal to fans of serious historical cinema. Watching 'Henry V' may slightly increase the chance of watching 'Wyatt Earp,' due to an affinity for epic historical narratives, though this is confounded by genre preference."
2771,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",Absolute Power (1997),-0.14801364,0,"An Italian WWII-set drama and a 90s crime thriller have no narrative, genre, or audience connection beyond possibly broad interest in drama. Watching one does not causally affect watching the other."
2772,Strange Days (1995),Home Alone 3 (1997),0.72749174,0,"'Strange Days' is an R-rated sci-fi thriller, while 'Home Alone 3' is a family comedy. Their target demographics and genres do not overlap, so there is no causal effect."
2773,"Bridges of Madison County, The (1995)",FairyTale: A True Story (1997),0.7271973,0,"'Bridges' is a romantic drama for adults; 'FairyTale' is a family-oriented fantasy drama. No narrative, cast, or strong genre overlap, so no causal linkage."
2774,"Spitfire Grill, The (1996)",Lost in Space (1998),-0.14798072,0,"A quiet indie drama and a big-budget sci-fi adventure do not share audiences, themes, or narrative arcs. There is no plausible causal mechanism."
2775,Rosewood (1997),"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",0.022992669,1,"Both are 1997 historical dramas, but their stories are set in very different contexts. Watching one might marginally increase the likelihood of watching the other due to historical drama interest, but confounders dominate."
2776,"Blue Angel, The (Blaue Engel, Der) (1930)",Return of the Jedi (1983),-0.14773639,0,"A landmark German drama and a major American sci-fi blockbuster have no audience or genre overlap. Film buffs may see both, but that's not a direct causal effect."
2777,"Third Man, The (1949)",Immortal Beloved (1994),0.7271632,0,"'The Third Man' is a classic noir; 'Immortal Beloved' is a Beethoven biopic. No narrative, genre, or audience bridge connects the two apart from a general interest in classic or European cinema."
2778,"Last Supper, The (1995)","Juror, The (1996)",0.07430291,1,"These mid-90s thrillers both examine morality and crime in modern society. Watching one may slightly increase interest in the other due to similar themes and release timing, but confounding by genre taste is strong."
2779,Night on Earth (1991),"NeverEnding Story III, The (1994)",0.7267744,0,"'Night on Earth' is an arthouse anthology by Jim Jarmusch; 'NeverEnding Story III' is a children's fantasy sequel. Audiences are almost completely distinct, so there's no causal effect."
2780,"Bronx Tale, A (1993)",Akira (1988),0.077616826,0,"There is no narrative, genre, or audience overlap between the coming-of-age crime drama 'A Bronx Tale' and the dystopian anime 'Akira.' Watching A causes virtually no change in the likelihood of watching B, with confounders such as taste preferences accounting for any observed correlation."
2781,"Sting, The (1973)",Return of the Jedi (1983),-0.14769813,0,"'The Sting' is a classic con artist drama, while 'Return of the Jedi' is a sci-fi space adventure. There are no narrative, thematic, or genre links, and audience overlap is low, so watching A has no causal effect on watching B outside of general movie enthusiasm."
2782,Striptease (1996),"NeverEnding Story III, The (1994)",0.7267744,0,"'Striptease' is an adult crime-comedy, while 'The NeverEnding Story III' is a family fantasy adventure. There is no narrative or genre connection, and audience overlap is minimal, resulting in no causal effect."
2783,"Treasure of the Sierra Madre, The (1948)",First Kid (1996),-0.14758113,0,"The classic adventure drama 'Treasure of the Sierra Madre' and the family comedy 'First Kid' are entirely unrelated in terms of story, genre, and target audience. Watching one does not causally affect the desire to watch the other."
2784,Aladdin and the King of Thieves (1996),"Magnificent Seven, The (1954)",0.10141468,0,"Though both are adventure films, one is an animated Disney sequel and the other a classic Western. There is no narrative or strong genre or audience bridge, so causal effect is negligible."
2785,Shine (1996),Rumble in the Bronx (1995),0.12853107,0,"'Shine' is a classical music biopic, while 'Rumble in the Bronx' is a Jackie Chan action-comedy. Audience overlap and narrative/genre linkage are minimal. Watching A does not causally influence watching B."
2786,Beyond Bedlam (1993),Cold Comfort Farm (1995),0.7267038,0,There is no narrative or audience continuity between the low-budget thriller 'Beyond Bedlam' and the satirical comedy 'Cold Comfort Farm.' Viewing one has no causal impact on viewing the other.
2787,Sleepless in Seattle (1993),3 Ninjas: High Noon At Mega Mountain (1998),-0.1475015,0,"'Sleepless in Seattle' is a romantic comedy, while '3 Ninjas: High Noon at Mega Mountain' is a children's action film. There is no narrative, genre, or audience dependency, leading to no causal effect."
2788,Thinner (1996),Little Odessa (1994),-0.14744261,0,"'Thinner' is a supernatural horror film, while 'Little Odessa' is a crime drama. The genres and audiences differ, and there is no narrative continuity, resulting in no causal effect."
2789,From Dusk Till Dawn (1996),True Crime (1995),0.72663677,0,"'From Dusk Till Dawn' is a horror/crime hybrid with a cult following, while 'True Crime' is a straightforward drama. Minimal genre and narrative overlap means no direct causal relationship."
2790,"Wonderful, Horrible Life of Leni Riefenstahl, The (1993)","Crow, The (1994)",0.13392875,0,A historical documentary and a gothic fantasy revenge film have no cross-influence in audience or genre expectations. Watching A does not causally influence watching B.
2791,Michael (1996),3 Ninjas: High Noon At Mega Mountain (1998),-0.14741275,0,'Michael' is a fantasy romantic comedy with adult comedic elements; '3 Ninjas: High Noon at Mega Mountain' appeals primarily to children. There is no significant narrative or genre link.
2792,Lone Star (1996),Last Man Standing (1996),0.7265782,1,"Both are crime dramas set in Texas/Western-influenced landscapes and released the same year. Watching one may slightly raise interest in similarly themed contemporary films, but there's no narrative dependency, so effect is very mild."
2793,Dolores Claiborne (1994),Fantasia (1940),0.1413957,0,"'Dolores Claiborne' is a psychological thriller, while 'Fantasia' is a classic animated musical. Audience and genre preferences are unlikely to overlap, so causal effect is null."
2794,"Long Kiss Goodnight, The (1996)",3 Ninjas: High Noon At Mega Mountain (1998),-0.14741275,0,"Despite both being action-oriented, 'Long Kiss Goodnight' is an adult action/thriller and '3 Ninjas' is for kids—no meaningful causal link between them."
2795,Sgt. Bilko (1996),Theodore Rex (1995),0.72655076,0,"Both are mid-90s comedies, but one is a military farce and the other a family-friendly buddy-cop with a dinosaur. Audience overlap is low and viewing one does not cause interest/disinterest in the other."
2796,Seven Years in Tibet (1997),To Kill a Mockingbird (1962),-0.019783026,0,"One is a historical drama about Tibet; the other a classic American legal drama. No genre, narrative, or time period overlap to provide causal influence."
2797,"Young Poisoner's Handbook, The (1995)",Theodore Rex (1995),0.72655076,0,"'Young Poisoner's Handbook' is a dark biographical drama, while 'Theodore Rex' is a children's comedy. Audience and genre differences eliminate any causal effect."
2798,Tin Cup (1996),First Kid (1996),-0.1474006,0,"Although both are mid-90s comedies, 'Tin Cup' is a sports romantic comedy and 'First Kid' is a family comedy. Little audience overlap and no narrative dependency."
2799,Strictly Ballroom (1992),"Client, The (1994)",0.00024404842,0,"'Strictly Ballroom' is a dance romantic comedy, while 'The Client' is a legal thriller. The genres and audience interests are distinct, so there is no causal effect."
2800,Amistad (1997),"Hunchback of Notre Dame, The (1996)",0.20423765,0,'Amistad' is a historical legal drama; 'The Hunchback of Notre Dame' is a Disney animated adaptation. There is no overlap in audience or narrative to provide a causal link.
2801,Contact (1997),Once Upon a Time in the West (1969),0.72647214,0,"'Contact' is a science fiction film and 'Once Upon a Time in the West' is a Western epic. No narrative or genre bridge, so no causal relationship."
2802,Critical Care (1997),To Gillian on Her 37th Birthday (1996),-0.14738685,1,"Both are mid-90s adult dramas with a focus on emotional or moral themes; there may be a slight causal boost in watching similar types of drama films close in release, though there is no storyline carryover."
2803,Batman Returns (1992),Much Ado About Nothing (1993),0.7264413,0,'Batman Returns' is a superhero action film; 'Much Ado About Nothing' is a Shakespearean comedy. Audience interests and genres are unconnected for causal inference.
2804,Rising Sun (1993),Made in America (1993),0.012093864,0,"'Rising Sun' is a crime thriller; 'Made in America' is a comedic drama. While both released in the same year, their genres and target audiences do not overlap enough to create a causal effect."
2807,"Arrival, The (1996)",Sleepers (1996),0.020169161,0,"There is no narrative, genre, or release connection. Watching the sci-fi thriller 'The Arrival' is unlikely to affect watching the drama 'Sleepers,' aside from possible temporal proximity, which is not a causal factor after controlling for year and popularity."
2808,L.A. Confidential (1997),Rocket Man (1997),0.726384,0,"'L.A. Confidential' is a noir crime thriller, and 'Rocket Man' is a family sci-fi comedy. No narrative or genre overlap, so watching one does not causally impact the likelihood of the other after controlling for 1997 viewership patterns."
2809,McHale's Navy (1997),Rocket Man (1997),0.726384,1,"Both are 1997 family-friendly comedies with broadly similar tone and audience, so viewing one could modestly increase interest in the other. Influence is weak and mostly due to comic genre preference, so after accounting for confounders, the effect is slight but positive."
2810,Robin Hood: Men in Tights (1993),Four Rooms (1995),0.13020243,0,"These films share neither genre, narrative, nor notable cast connections, and broadly appeal to different comedic sensibilities. Watching the first does not meaningfully affect propensity to watch the latter after controlling for overall comedy fandom."
2811,Flipper (1996),First Kid (1996),-0.14731051,2,"Both are 1996 family-friendly movies with young protagonists, likely to appeal to families or children. Watching 'Flipper' may causally increase propensity to seek similar, safe, family-friendly fare, modestly raising the chance of watching 'First Kid.'"
2812,Secrets & Lies (1996),"English Patient, The (1996)",0.27143937,1,"Both are 1996 adult dramas acclaimed by critics (one British social drama, the other a romantic epic). Slight positive causal effect due to clustering among serious film audience, even after accounting for genre and year. Effect is weak as neither film depends on the other."
2813,Space Jam (1996),Rocket Man (1997),0.726384,1,"Both are family-oriented comedies with a sci-fi element. Watching 'Space Jam' may modestly increase desire for similar light entertainment, causing a slight uptick in 'Rocket Man' viewing. Effect is small once genre and age preference are controlled."
2814,Liar Liar (1997),To Gillian on Her 37th Birthday (1996),-0.14724977,0,"'Liar Liar' is a zany Jim Carrey comedy, and 'To Gillian on Her 37th Birthday' is a somber drama. Audiences and moods are different; watching the first doesn't causally affect interest in the second after accounting for general 1996–97 film viewing patterns."
2815,Fargo (1996),Absolute Power (1997),-0.14724772,1,"Both are crime thrillers, albeit with different tones and styles. Watching 'Fargo' may slightly increase interest in similar genre films, but effect is weak and largely explained by taste for crime/mystery. After adjusting for that, the causal boost is minimal but positive."
2816,Real Genius (1985),Touch of Evil (1958),0.72635275,0,"One is a light 1980s science comedy, the other a classic noir crime thriller from the 1950s. No narrative, cast, or genre overlap, so no causal pathway exists outside of general cinephilia."
2817,Turbo: A Power Rangers Movie (1997),Fools Rush In (1997),0.16694537,0,"'Turbo' is a kids' action film, 'Fools Rush In' is a romantic comedy for adults. Audiences and viewing contexts are distinct, so after handling year-of-release and popularity, there's no causal link."
2818,Field of Dreams (1989),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",0.7262226,0,"One is an American sports fantasy, the other a Swedish existential classic. No genre or thematic continuity or audience clustering after accounting for canonical status among cinephiles."
2819,"Spitfire Grill, The (1996)",First Kid (1996),-0.14722052,0,"'Spitfire Grill' is an indie drama, 'First Kid' is a family comedy. No narrative or strong genre overlap or sequel relationship; watching the first does not causally promote or impede interest in the second."
2820,My Left Foot (1989),"White Balloon, The (1995)",-0.0134332925,1,"Both are award-winning dramas focused on adversity and childhood, but from different cultures and eras. Watching the first may slightly incline viewers toward similarly challenging or international dramas."
2821,North by Northwest (1959),Return of the Jedi (1983),-0.14720508,0,"A Hitchcock suspense thriller and a classic space opera have no overlap in narrative, genre, or intended audience. Any observed co-viewing is due to general film enthusiasm, not a causal effect."
2822,"Baby-Sitters Club, The (1995)",Rocket Man (1997),0.726204,0,"Both skew toward younger audiences, but in different genres (slice-of-life adaptation vs. sci-fi comedy). Any causal effect is negligible after accounting for family/kids movie preference, as neither thematically drives interest in the other."
2823,Brassed Off (1996),Bean (1997),0.005139932,1,"Both are British comedies with appeal to audiences fond of UK humor. Watching 'Brassed Off' may gently shift attention to similar UK comedies like 'Bean,' especially for viewers exploring that film culture."
2824,"Thin Man, The (1934)",Mary Reilly (1996),0.16091838,0,"'Thin Man' is a classic detective comedy, 'Mary Reilly' is a dark gothic drama; no narrative, genre, or tone connection. No causal effect after accounting for varied film interest."
2825,Miami Rhapsody (1995),All About Eve (1950),0.72589666,0,"'Miami Rhapsody' is a 1990s romantic comedy, 'All About Eve' a 1950 classic drama. No sequel relationship or genre dependency; any cross-viewing results from general film interest, not causality."
2826,Pinocchio (1940),First Kid (1996),-0.14713064,0,"Although both are family-friendly, the vast temporal and thematic gap, and lack of franchise/genre ties, means watching one does not causally affect viewing the other once genre preference is accounted for."
2827,"Prophecy II, The (1998)",First Kid (1996),-0.14713064,0,"The former is a supernatural thriller, the latter a light family comedy. Distinct genres and audiences, so no meaningful direct causal impact exists."
2828,"Professional, The (1994)",All About Eve (1950),0.72589666,0,"The first is a stylish action drama, the second a classic backstage drama. No narrative, thematic, or temporal connection, so no causal effect beyond possible general cinephilia."
